지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
강원도,(주)태광주유소,강원 태백시 태백로 892 (황지동),현대오일뱅크,033-552-2335,Y,-,1545,1685,1500
강원도,(주)태우주유소,강원 춘천시 후석로 400,GS칼텍스,033-252-8119,Y,-,1559,1648,-
강원도,(주)현대에너지,강원 동해시 동해대로 4985,현대오일뱅크,033-522-2007,Y,-,1689,1779,1659
강원도,12선녀탕주유소,강원 인제군 북면 미시령로 660,현대오일뱅크,033-462-5599,N,-,1595,1675,-
강원도,4289주유소,강원 원주시 문막읍 왕건로 161,현대오일뱅크,033-747-6370,N,-,1559,1609,1650
강원도,51주유소,강원도 원주시  서원대로 51 (단계동),SK에너지,033-742-5145,N,1758,1598,1678,-
강원도,7GAS STATION,강원 양양군 손양면 동해대로 1750,S-OIL,033-672-1750,Y,1797,1579,1693,-
강원도,CJ대한통운㈜ 강릉주유소,강원 강릉시 동해대로 3292,S-OIL,033-740-8602,Y,-,1535,1675,-
강원도,CJ대한통운㈜ 강원주유소,강원 원주시 흥업면 원문로 898,GS칼텍스,033-738-7412,Y,-,-,1610,-
강원도,CJ대한통운㈜ 동해주유소,강원 동해시 강원남부로 4591 (단봉동),현대오일뱅크,033-522-0227,Y,-,1530,1650,-
강원도,CJ대한통운㈜ 무실점주유소,강원 원주시 북원로 2151,S-OIL,033-743-5104,Y,-,1569,1699,-
강원도,GS교동택지주유소,강원 강릉시 교동하슬라로 233,GS칼텍스,033-647-5145,Y,1868,1634,1758,1500
강원도,IOZEN(이오젠),강원 춘천시 동내면 순환대로 758,SK에너지,033-262-2913,N,-,1558,1678,1650
강원도,KIS정보통신㈜강릉(강릉방향)주유소,강원 강릉시 성산면 영동고속도로 232-1,알뜰(ex),033-648-9559,Y,-,1498,1584,-
강원도,KIS정보통신㈜강릉(인천방향)주유소,강원 강릉시 영동고속도로 231-1,알뜰(ex),033-647-7112,Y,-,1498,1584,-
강원도,LP가스산업주유소,강원 인제군 북면 미시령로 951,SK에너지,033-463-5189,N,-,1575,1635,1370
강원도,SK 나이스개발 주유소,강원 동해시 동해대로 4912 (나안동),SK에너지,033-521-5300,Y,-,1709,1719,-
강원도,SK 삼척주유소,강원 삼척시 동해대로 4323 (마달동),SK에너지,033-574-6568,N,-,1687,1787,1550
강원도,SK만종주유소,강원 원주시 호저면 원문로 545,SK에너지,033-747-5109,N,-,1567,1657,1480
강원도,SK명품주유소,강원 원주시 문막읍 원문로 1227,SK에너지,033-745-6888,Y,-,1545,1609,1400
강원도,SK속초주유소,강원 속초시 동해대로 3834 (대포동),SK에너지,033-635-9705,Y,1827,1563,1593,-
강원도,SK에너지(주) 삼한주유소,강원 원주시 북원로 2509 (우산동),SK에너지,033-743-5149,N,1788,1588,1678,1430
강원도,SK에너지(주) 소양강셀프주유소,강원 춘천시 소양로 206 (소양로1가),SK에너지,033-251-5100,Y,-,1558,1668,-
강원도,SK에너지(주) 시민주유소,강원 동해시 동해대로 5133 (효가동),SK에너지,033-522-0669,N,-,1589,1690,-
강원도,SK에너지(주) 월드컵주유소,강원 강릉시 경강로 2224 (포남동),SK에너지,033-646-8645,N,-,1562,1679,-
강원도,SK에너지(주) 커피향셀프주유소,강원 양양군 강현면 동해대로 3343,SK에너지,033-672-7222,Y,1817,1574,1674,-
강원도,SK에너지(주)강릉주유소,강원 강릉시 강릉대로 432 (포남동),SK에너지,033-652-5155,Y,-,1562,1679,1450
강원도,SK에너지(주)교동주유소,강원 강릉시 하슬라로 159 (교동),SK에너지,033-641-4450,Y,-,1550,1669,-
강원도,SK원주주유소,강원 원주시 북원로 2732 (태장동),SK에너지,033-742-5182,Y,-,1554,1614,-
강원도,SK직영 OK주유소,강원 춘천시 후석로 322 (후평동),SK에너지,033-253-4951,Y,1738,1558,1668,-
강원도,SK직영 부안주유소,강원 춘천시 후석로 239 (후평동),SK에너지,033-257-5151,N,-,1578,1688,1450
강원도,SK해안로주유소,강원 동해시 해안로 63 (용정동),SK에너지,033-532-7424,Y,-,1520,1635,1500
강원도,SK행복한Self주유소,강원 춘천시 후석로 453 (후평동),SK에너지,033-252-5148,Y,-,1555,1625,1450
강원도,sk소망주유소,강원 철원군 철원읍 금학로 469,SK에너지,033-455-8295,N,-,1570,1680,1450
강원도,sk영월주유소,강원 영월군 영월읍 영월로 2153,SK에너지,033-374-0738,N,-,1659,1669,1400
강원도,㈜삼봉레미콘 강원주유소,강원 태백시 메밀들1길 18 (장성동),S-OIL,033-581-0017,N,-,1620,1770,1650
강원도,㈜월인톨게이트주유소,강원 원주시 문막읍 원문로 1734-18,GS칼텍스,033-734-8400,Y,-,1558,1648,1500
강원도,㈜지에스이앤알 문막IC주유소,강원 원주시 문막읍 원문로 1640,GS칼텍스,033-733-2200,Y,-,1539,1629,-
강원도,㈜청령포주유소,강원 영월군 영월읍 청령포로 6,SK에너지,033-373-5133,N,-,1660,1670,1400
강원도,㈜행복드림주유소,강원 원주시 호저면 원문로 402,알뜰주유소,033-747-2670,Y,-,1548,1608,1400
강원도,가나주유소,강원 원주시 판부면 용수골길 230,S-OIL,033-763-4936,N,-,1558,1678,1450
강원도,가람주유소,강원 춘천시 영서로 2997 (사농동),GS칼텍스,033-252-5161,N,-,1563,1647,1600
강원도,간동주유소,강원 화천군 간동면 간척월명로 286,SK에너지,033-442-1136,N,-,1637,1799,1550
강원도,간성주유소,강원 고성군 간성읍 탑동길 4-15,SK에너지,033-681-5155,Y,-,1570,1690,-
강원도,감자바우주유소,강원 강릉시 동해대로3305번길 7 (죽헌동),현대오일뱅크,033-647-5252,N,-,1568,1698,1440
강원도,갑천주유소,강원 횡성군 갑천면 청정로 171,SK에너지,033-342-8103,N,-,1600,1695,1370
강원도,갑호주유소,강원 고성군 현내면 금강산로 49,현대오일뱅크,033-681-0125,N,-,1650,1690,1480
강원도,강동에너지주유소,강원 원주시 평원로 111 (학성동),GS칼텍스,070-4158-5806,N,-,1553,1608,1420
강원도,강릉농협 성산주유소,강원 강릉시 성산면 구산길 16,NH-OIL,033-641-9379,N,-,1550,1650,1400
강원도,강릉농협주유소,강원 강릉시 유산로 19 (유산동),NH-OIL,033-648-9305,N,-,1550,1650,1400
강원도,강릉원예농협주유소,강원 강릉시 경강로 1932 (홍제동),NH-OIL,033-646-0571,N,-,1550,1650,1400
강원도,강릉햇살주유소,강원 강릉시 입암로 12 (입암동),현대오일뱅크,033-648-1951,Y,-,1544,1594,-
강원도,강변주유소,강원 춘천시 서면 경춘로 701,현대오일뱅크,033-263-2210,N,-,1569,1665,1700
강원도,강변주유소,강원 원주시 강변로 283 (단구동),현대오일뱅크,033-761-0082,N,-,1568,1638,1450
강원도,강원주유소,강원 정선군 정선읍 정선로 1160,SK에너지,033-563-3200,Y,-,1560,1740,1450
강원도,강원주유소,강원 정선군 고한읍 고한로 209,SK에너지,033-591-2477,N,-,1645,1795,1500
강원도,강원주유소,강원 강릉시 동해대로 3433 (대전동),S-OIL,033-655-5187,Y,-,1535,1675,-
강원도,강토탈 구도일주유소 뉴설악,강원 속초시 설악산로 35 (도문동),S-OIL,033-635-5308,Y,-,1557,1677,1450
강원도,강현농업협동조합(강현농협주유소),강원 양양군 강현면 동해대로 3415,NH-OIL,033-671-5815,Y,-,1544,1654,1430
강원도,개운주유소,강원 원주시 행구로 50,SK에너지,033-761-7176,N,-,1587,1657,1450
강원도,거두주유소,강원도 춘천시 동내면 춘천순환로 59,GS칼텍스,033-257-8778,Y,1738,1599,1611,-
강원도,거진OK주유소,강원 고성군 거진읍 거탄진로 0,GS칼텍스,033-681-7700,N,-,1710,1750,1480
강원도,거진농협주유소,강원 고성군 거진읍 거탄진로 44,NH-OIL,033-682-8245,N,-,1590,1690,1480
강원도,경복주유소,강원 횡성군 우천면 서동로 77,현대오일뱅크,033-344-5182,Y,-,1548,1648,-
강원도,경춘제1주유소,강원 춘천시 서면 경춘로 629,S-OIL,033-262-2766,N,-,1575,1655,-
강원도,경춘주유소,강원 춘천시 경춘로 2039 (칠전동),GS칼텍스,033-256-3900,Y,1730,1573,1635,1450
강원도,경포주유소,강원 강릉시 안현로 40 (안현동),GS칼텍스,033-644-5145,N,1879,1599,1739,1470
강원도,고객사랑주유소,강원 동해시 동해대로 6121,SK에너지,033-535-7202,Y,-,1530,1628,-
강원도,고구려주유소,강원 원주시 현충로 288 (태장동),SK에너지,033-746-3003,N,-,1568,1613,1500
강원도,고석정주유소,강원 철원군 동송읍 태봉로 1952,GS칼텍스,033-455-7227,N,-,1590,1680,1400
강원도,고토일주유소,강원 정선군 고한읍 지장천로 859,S-OIL,033-592-0700,N,-,1645,1795,1500
강원도,고향주유소,강원 춘천시 서면 서상로 387,현대오일뱅크,033-244-2011,N,-,1629,1699,1450
강원도,공근농협주유소,강원 횡성군 공근면 영서로 85,NH-OIL,033-344-3430,N,-,1570,1650,1330
강원도,공근농협주유소 상창봉점,강원 횡성군 공근면 영서로 1072,NH-OIL,033-343-6578,N,-,1570,1650,1330
강원도,공단주유소,강원 동해시 공단1로 7-13 (구호동),GS칼텍스,033-522-5328,N,-,1550,1650,-
강원도,공원주유소,강원 삼척시 오십천로 566 (정상동),현대오일뱅크,033-575-5101,N,-,1560,1650,1450
강원도,공현진주유소,강원 고성군 죽왕면 동해대로 6176,S-OIL,033-631-2224,N,-,1594,1687,-
강원도,관동주유소,강원 동해시 강원남부로 4650 (단봉동),S-OIL,033-522-0202,Y,-,1550,1650,1500
강원도,관동주유소,강원 강릉시 성산면 구산길 44,S-OIL,033-641-9970,N,-,1545,1650,1400
강원도,관설주유소,강원 원주시 치악로 1371 (관설동),SK에너지,033-761-5125,N,-,1568,1668,1460
강원도,광덕주유소,강원 화천군 사내면 포화로 814,SK에너지,033-441-4455,Y,1890,1618,1750,1530
강원도,광명주유소,강원 강릉시 주문진읍 동해대로 4730,S-OIL,033-661-0117,N,-,1564,1676,1450
강원도,광바위주유소,강원 화천군 하남면 춘화로 2613,GS칼텍스,033-441-5000,Y,-,1615,1759,1500
강원도,광장셀프주유소,강원 춘천시 효자로 150,SK에너지,033-241-5185,Y,-,1558,1765,1500
강원도,광치령주유소,강원 양구군 국토정중앙면 춘양로 3592,SK에너지,033-481-9393,N,-,1620,1790,-
강원도,교가주유소,강원 삼척시 근덕면 삼척로 3559,SK에너지,033-572-7811,N,-,1590,1790,1500
강원도,구도일주유소,강원 속초시 동해대로 4122 (조양동),S-OIL,033-635-8950,Y,-,1550,1594,1450
강원도,구도일주유소 솔향강릉,강원 강릉시 경강로 2225,S-OIL,033-655-3051,Y,-,1516,1628,1400
강원도,구도일주유소 춘천,강원 춘천시 춘천로 40(퇴계동),S-OIL,033-252-0336,Y,-,1559,1619,1410
강원도,구라미주유소,강원 강릉시 사천면 구라미등길 3,S-OIL,033-645-1085,Y,-,1545,1664,-
강원도,구름다리주유소,강원 춘천시 동면 후만로 137,SK에너지,033-264-7601,Y,-,1554,1634,1450
강원도,구성주유소,강원 홍천군 화촌면 가락재로 1062,현대오일뱅크,033-435-2051,N,-,1579,1669,1400
강원도,구정(동해)주유소,강원 강릉시 구정면 동해고속도로 345-1,알뜰(ex),033-644-8456,Y,-,1497,1589,-
강원도,구정(속초방향)주유소,강원 강릉시 구정면 동해고속도로 346,알뜰(ex),033-644-4929,Y,-,1499,1584,-
강원도,국향주유소,강원 원주시 행구로 121 (봉산동),GS칼텍스,033-745-5114,N,-,1645,1745,1500
강원도,굴다리주유소,강원 강릉시 경강로1804번길 8 (홍제동),현대오일뱅크,033-647-1569,N,-,1597,1698,1500
강원도,굿오일주유소,강원 춘천시 충열로 65 (우두동),S-OIL,033-252-5188,Y,-,1568,1658,1400
강원도,귀래주유소,강원 원주시 귀래면 북원로 116-1,현대오일뱅크,033-763-4167,N,-,1563,1637,1430
강원도,그림바위주유소,강원 정선군 화암면 소금강로 1014,GS칼텍스,033-562-6676,N,-,1560,1740,1450
강원도,근남주유소,강원 철원군 근남면 하오재로 2084,S-OIL,033-458-5896,N,-,1550,1690,1450
강원도,금강농협주유소,강원 고성군 간성읍 간성로 32,NH-OIL,033-681-2356,N,-,1590,1690,1480
강원도,금강산주유소,강원 춘천시 옛경춘로 721,GS칼텍스,033-253-7007,Y,-,1563,1698,-
강원도,금강산주유소,강원 양구군 국토정중앙면 정중앙로 352,GS칼텍스,033-481-6886,N,-,1638,1795,1550
강원도,금강주유소,강원 태백시 태백로 2124 (장성동),SK에너지,033-581-5200,N,-,1550,1690,-
강원도,금강주유소,강원 철원군 갈말읍 호국로 4532,GS칼텍스,033-452-6355,Y,1798,1598,1598,1450
강원도,금마주유소,강원 영월군 주천면 송학주천로 1002,S-OIL,033-372-0488,N,-,1595,1615,1450
강원도,기린농협주유소,강원 인제군 기린면 내린천로 3996,NH-OIL,033-462-5188,N,-,1590,1690,1370
강원도,기분좋은주유소,강원 강릉시 경강로 1843 (홍제동),GS칼텍스,033-648-5149,Y,-,1559,1599,-
강원도,기업주유소,강원 동해시 동해대로 4683,SK에너지,033-522-0202,N,-,1550,1650,1500
강원도,길성주유소,강원 춘천시 사북면 춘화로 536,SK에너지,033-243-8721,N,-,1549,1716,1450
강원도,김삿갓주유소,강원 영월군 김삿갓면 영월동로 2150,SK에너지,033-374-1340,N,-,1650,1700,1500
강원도,김진주유소,강원도 고성군 토성면 청간정길 6-2,S-OIL,033-636-8897,N,-,1590,1690,1480
강원도,김화농협주유소,강원 철원군 서면 와수로110번안길 49,NH-OIL,033-458-7551,Y,-,1550,1690,1450
강원도,나전주유소,강원 정선군 북평면 서동로 2085,SK에너지,033-562-0898,N,-,1550,1730,1430
강원도,남강릉주유소,강원 강릉시 동해대로 2336,S-OIL,033-655-8111,Y,-,1520,1598,1375
강원도,남면주유소,강원 정선군 남면 문은단로 8,SK에너지,033-591-5189,N,-,1650,1790,1500
강원도,남산농협 주유소 광판점,강원 춘천시 남산면 종자리로 28,NH-OIL,033-262-8786,Y,-,1538,1638,1450
강원도,남산농협주유소,강원 춘천시 남산면 강촌로 395-1,NH-OIL,033-262-8787,Y,-,1538,1648,1450
강원도,남산주유소,강원 강릉시 남부로 136 (노암동),GS칼텍스,033-645-3119,Y,1814,1534,1644,1400
강원도,남송주유소,강원 원주시 판부면 남원로 380,GS칼텍스,033-761-5054,Y,1787,1563,1643,1450
강원도,남원주농협주유소,강원 원주시 흥업면 사제로 5,NH-OIL,033-737-8860,N,-,1569,1639,1430
강원도,남원주농협주유소 귀래지점,강원 원주시 귀래면 북원로 105,NH-OIL,033-764-1711,N,-,1569,1639,1430
강원도,남원주주유소,강원 원주시 판부면 치악로 991,SK에너지,033-762-5806,Y,-,1562,1637,-
강원도,남춘천주유소,강원 춘천시 퇴계로 73,GS칼텍스,033-242-5182,N,-,1665,1775,1600
강원도,내린천(서울방향)주유소/충전소,강원 인제군 상남면 서울양양고속도로 117,알뜰(ex),033-852-7110,Y,-,1517,1587,-
강원도,내린천(양양방향)주유소/충전소,강원 인제군 상남면 서울양양고속도로 117,알뜰(ex),033-852-7220,Y,-,1517,1587,-
강원도,내린천주유소,강원 홍천군 내면 구룡령로 5263,GS칼텍스,033-432-8870,N,-,1568,1678,1410
강원도,내촌농협 클린주유소,강원 홍천군 내촌면 도관길 12,NH-OIL,033-430-3722,N,-,1560,1680,1420
강원도,노곡주유소,강원 삼척시 원덕읍 삼척로 865,현대오일뱅크,033-575-5199,N,-,1590,1710,1500
강원도,노성주유소,강원 평창군 평창읍 평창중앙로 179,S-OIL,033-334-5189,N,1900,1590,1700,1370
강원도,녹전주유소,강원 영월군 산솔면 태백산로 1312,S-OIL,033-378-8000,N,-,1659,1689,1450
강원도,농민주유소,강원 춘천시 후석로 396 (후평1동),SK에너지,033-263-3900,Y,-,1548,1625,1450
강원도,뉴새말주유소,강원 횡성군 우천면 전재로 50,GS칼텍스,033-344-8086,N,-,1580,1690,1340
강원도,뉴시티동해항주유소,강원 동해시 대동로 263 (송정동),S-OIL,033-522-3007,Y,-,1549,1610,1500
강원도,뉴신일주유소,강원 강릉시 경강로 1889 (홍제동),SK에너지,033-644-3444,Y,1794,1544,1599,-
강원도,늘좋은주유소,강원 평창군 진부면 진부중앙로 26,S-OIL,033-335-1666,N,-,1650,1765,1450
강원도,늘푸른주유소,강원 원주시 동부순환로 69,SK에너지,033-765-5164,N,-,1568,1648,-
강원도,늘푸른초록봉주유소,강원도 동해시  동해대로 5480 (평릉동),S-OIL,033-532-3216,N,-,1550,1650,1500
강원도,능평타운주유소,강원 홍천군 북방면 영서로 2884,SK에너지,033-435-6811,N,-,1685,1730,1500
강원도,다문주유소,강원 원주시 호저면 원문로 437,GS칼텍스,033-732-5155,N,-,1568,1628,-
강원도,다운주유소,강원 홍천군 홍천읍 영서로 1802,현대오일뱅크,033-432-1762,N,-,1548,1678,1400
강원도,단계주유소,강원 원주시 서원대로 154 (단계동),현대오일뱅크,033-743-7814,Y,-,1552,1609,-
강원도,단구주유소,강원 원주시 치악로 1464 (단구동),GS칼텍스,033-761-3085,Y,1817,1563,1643,1450
강원도,당림주유소,강원 춘천시 서면 경춘로 969,SK에너지,033-262-2621,N,-,1579,1669,1500
강원도,대경주유소,강원 원주시 원문로 246 (단계동),현대오일뱅크,033-746-1269,N,-,1548,1628,1450
강원도,대경주유소,강원 동해시 동해대로 5161 (효가동),현대오일뱅크,033-522-6237,Y,-,1550,1650,-
강원도,대관령농협주유소,강원 평창군 대관령면 경강로 5167,NH-OIL,033-335-5656,N,-,1580,1700,1410
강원도,대광주유소,강원 횡성군 둔내면 경강로 4605,S-OIL,033-342-8228,Y,-,1630,1750,1500
강원도,대동강주유소,강원 강릉시 남부로 67 (내곡동),SK에너지,033-643-1203,Y,-,1509,1615,1395
강원도,대룡산주유소,강원 춘천시 동내면 순환대로 660,SK에너지,033-261-5185,N,-,1598,1689,1500
강원도,대륙주유소,강원 영월군 한반도면 강원남로 140,GS칼텍스,033-372-2998,N,-,1614,1619,1500
강원도,대명이백주유소,강원 인제군 인제읍 광치령로 681,SK에너지,033-463-4406,N,-,1595,1695,1420
강원도,대명주유소,강원 춘천시 충열로 314 (우두동),현대오일뱅크,033-252-4840,N,-,1579,1719,1500
강원도,대보건설(주) 원주(부산)주유소/충전소,강원 원주시 호저면 마근거리길 120,현대오일뱅크,033-731-0736,N,-,1524,1591,-
강원도,대복주유소,강원 정선군 고한읍 고한2길 3,GS칼텍스,033-591-5145,Y,-,1685,1825,1600
강원도,대성MDI(주)삼척주유소,강원 삼척시 신기면 강원남부로 2620,GS칼텍스,033-541-6913,N,-,1560,1700,1500
강원도,대성광업 원통주유소,강원 인제군 북면 원통로 142,GS칼텍스,033-461-4520,N,-,1599,1722,1450
강원도,대성셀프주유소,강원 원주시 북원로 2607 (우산동),S-OIL,033-743-3434,Y,-,1588,1698,1550
강원도,대성주유소,강원 태백시 상장로 88 (황지동),자가상표,033-552-7553,N,-,1540,1680,1500
강원도,대성주유소,강원 춘천시 공지로 443,GS칼텍스,033-251-9777,Y,-,1578,1668,-
강원도,대성주유소,강원 정선군 임계면 백두대간로 1377,S-OIL,033-562-4533,Y,-,1550,1680,1450
강원도,대성주유소,강원 원주시 흥업면 원문로 804,현대오일뱅크,033-744-2156,Y,-,1545,1625,1425
강원도,대성주유소(주),강원 삼척시 미로면 강원남부로 3967,SK에너지,033-573-8558,N,-,1570,1670,1450
강원도,대성주유소(화천),강원 화천군 사내면 사내로 10-7,GS칼텍스,033-441-4507,N,-,1639,1779,1550
강원도,대영주유소,강원 춘천시 영서로 3100,GS칼텍스,033-254-1815,N,1730,1573,1679,1450
강원도,대영주유소,강원 동해시 동해대로 6036 (초구동),S-OIL,033-534-1207,Y,-,1495,1620,1400
강원도,대영주유소,강원 강릉시 가작로 308 (포남동),S-OIL,033-653-5133,Y,-,1590,1730,1450
강원도,대웅주유소,강원 평창군 미탄면 서동로 4044,현대오일뱅크,033-334-1640,N,-,1570,1695,1390
강원도,대원주유소,강원 화천군 사내면 포화로 1022,GS칼텍스,033-441-3322,N,-,1635,1745,1530
강원도,대일주유소,강원 영월군 북면 원동재로 513,GS칼텍스,033-372-3343,N,-,1590,1600,1400
강원도,대진주유소,강원 삼척시 근덕면 삼척로 3071,현대오일뱅크,033-572-5106,N,-,1600,1730,1480
강원도,대청봉주유소,강원 속초시 설악산로 441 (도문동),SK에너지,033-635-2800,N,-,1650,1698,1700
강원도,대현주유소,강원 화천군 화천읍 평화로 117,S-OIL,033-441-0737,N,-,1599,1759,1450
강원도,대형주유소,강원도 춘천시 경춘로 2155,SK에너지,033-262-5101,N,-,1575,1655,1450
강원도,대화농협주유소,강원 평창군 대화면 평창대로 572,NH-OIL,033-334-0070,Y,-,1530,1669,1370
강원도,대흥주유소,강원 속초시 설악산로 74 (도문동),SK에너지,033-631-3766,N,-,1565,1679,1450
강원도,도계농협클린주유소,강원 삼척시 도계읍 강원남부로 1818,NH-OIL,033-541-1170,Y,-,1550,1680,1490
강원도,도계주유소,강원 삼척시 도계읍 강원남부로 1560,SK에너지,033-541-5182,N,-,1555,1685,1530
강원도,도성주유소,강원 춘천시 신동면 경춘로 1766,S-OIL,033-261-3335,N,-,1569,1719,1420
강원도,도암주유소,강원 평창군 대관령면 솔봉로 191,GS칼텍스,033-335-5188,N,-,1695,1855,-
강원도,돌바우오일뱅크,강원 인제군 북면 미시령로 979,현대오일뱅크,033-462-5154,N,-,1575,1635,1370
강원도,돌집주유소,강원 인제군 북면 고원통로 121,현대오일뱅크,033-462-8220,N,-,1585,1665,1365
강원도,동국주유소,강원 홍천군 홍천읍 무궁화로 62,SK에너지,033-433-1788,N,-,1670,1790,1495
강원도,동국주유소,강원 원주시 문막읍 원문로 1387,현대오일뱅크,033-735-5180,N,-,1538,1612,1450
강원도,동국주유소,강원도 양구군 양구읍 중심로 165 (양구읍),현대오일뱅크,033-481-2331,N,-,1635,1746,1500
강원도,동국주유소,강원 강릉시 남구길 31,현대오일뱅크,033-641-1234,N,-,1598,1698,1450
강원도,동명새마을금고주유소,강원 속초시 장안로 21 (동명동),현대오일뱅크,033-633-2284,Y,-,1588,1668,1450
강원도,동명주유소,강원 원주시 치악로 2090 (태장동),알뜰주유소,033-743-4288,Y,-,1548,1608,1425
강원도,동백주유소,강원 정선군 임계면 서동로 4682,SK에너지,033-563-3838,N,-,1550,1680,1450
강원도,동북주유소,강원 동해시 동해대로 5050 (효가동),S-OIL,033-521-3661,Y,-,1578,1665,-
강원도,동서주유소,강원도 춘천시 서면 박사로 883,SK에너지,033-243-2017,Y,-,1595,1615,1450
강원도,동송주유소,강원 철원군 동송읍 이평로 7,현대오일뱅크,033-455-2133,N,-,1640,1720,1450
강원도,동양주유소,강원 춘천시 영서로 51,S-OIL,033-262-5995,Y,-,1595,1635,1450
강원도,동일주유소,강원 철원군 동송읍 오덕로 274,S-OIL,033-458-3114,N,-,1590,1790,1450
강원도,동진주유소,강원 원주시 문막읍 원문로 1895,S-OIL,033-747-5189,N,-,1615,1695,1450
강원도,동철원농협주유소,강원 철원군 갈말읍 갈말로 7,NH-OIL,033-452-5142,Y,-,1598,1658,1450
강원도,동춘천농협클린주유소,강원 춘천시 동내면 학곡동2길 11,NH-OIL,033-261-8911,N,-,1568,1648,1450
강원도,동해농협클린주유소,강원 동해시 대동로 249 (송정동),NH-OIL,033-521-5544,Y,-,1550,1660,1500
강원도,동해안주유소,강원 고성군 거진읍 진부령로 2875,현대오일뱅크,033-681-2649,N,-,1590,1710,1480
강원도,동해우리주유소,강원 양양군 현남면 동해대로 376,SK에너지,033-671-5178,N,-,1599,1699,-
